,DOCS
35285,conforme anunciado produto qualidade
35286,produto chegou perfeito estado prazo è lindo Recomendo
35288,Entrega antes prazo produto ótimo
35289,amei bolsas bebêmaterial muito bomcomo esperava
35291,ainda nao instalei parece produto muito bom chegou rapido bem antes data entrega Recomendo
35292,Rede linda não vem parafusos material ótimo
35294,relação compra excelente entrega rápido produto usado ver resultado
35295,Não recebi pedido
35297,Produto excelenteamei
35300,posso avaliar não recebi Já paguei produto status diz produto não chegou ainda unidade cidade entrega cadê produtofico prejuízo
35301,Não recebi produto enviar pedido suporte não respondido dentro prazo
35303,muito bom produto
35305,entregue data prevista
35306,produto recebi não anunciado
35307,Ótimo produto recomendo
35310,Ótimo
35312,produto entregue prazo condiz anúncio
35314,Preciso devolvam dinheiro Pedi produto veio
35315,recomendo
35317,Produto atende expectativas
35318,produto veio antes dia esperado só não gostei veio peças iguais
35323,gente só compra ilude pensando comprando lannister descobre parceiros tarde negócio parceiros deve acabar
35325,entregue dia hoje dia não chegou ainda produto Decepcionada
35326,Quanto entrega produto apenas achei produto material muito fraco
35327,Muito boa compra fiz prazo também entregue bem rápido Obrigada
35328,boa
35329,Não recebi produto ainda
35330,favor preciso estorno valor total compra
35331,Excelente perfume muitíssimo satisfeito produto entregue muito antes prazo só tenho parabenizar
35334,Recomendo produto chegou conformes prazo
35337,Relógio muuuuuuito pequeno ainda bem magra Ficou legal
35341,Ótimo produto tamanho bom maior imaginei Compraria novo
35343,Muito bom comprar stark
35348,Produto extrema má qualidade preço totalmente bambo peças extremamente frágeis má qualidade totalmente insatisfeito produto solicitei pedido cancelamento devolução
35350,muito bom serviço
35351,Entrega antes prazo
35358,política frete não faz sentido Tentei adquirir mais produto mesma loja mesma compra resultaria pagar dobro frete Desisti compra produtos
35359,Ainda não recebi
35361,falta respeito considderação clientes perceira lannister sempre comprei lannister mais ultimentente não recomendo
35363,Comprei pai muito cheguei muito grande coisas assim gosta amou 😊
35364,Recebi apenas isqueiro zippo balm blend barba quase reais ainda não recebi consta como recebido assim paguei produto quero receber
35367,Produto bom entrega como sempre dentro prazo
35368,Entrega conforme combinadoeu indicoe comprar novamente
35369,Achei largura qualidade superior
35370,Poderiam ter mandado objetos mesma categoria Cartucho tinta preto colorido Só recebi preto aguardando colorido
35374,Não tenho certeza produto original
35376,entrega bem rápida deram mais dias chegou bem antes prazo produto liindo veio certinho
35377,Não entregue
35379,ótimo recebi produto antes data prevista perfeitas condições nota
35381,qualidade imagem quadro boaporém sai placa mdf muito fácil cria facilmente famosa orelha burroe pouco desagradável mal recebi já danificado
35385,Produto chegou antes prazo estipulado
35388,Muito bom
35393,Relógio qualidade
35394,Adorei rapidez recebi produto só não consegui testar ainda
35395,Parabens ja quarta compra faco muito satisfeito
35400,Muito bom
35402,Produto entregue antes prazoSuper recomendo👏🏼
35403,comprei relógio não entregaram enderenço tive pegar correiosa caixa relógio aberta relógio fora caixa bem desagradável não gostei
35411,Ótimo
35412,não recomendo lojapois já faz comprei não enviaram ainda satisfação deram
35413,otimo
35415,Produto excelente qualidadeentrega bem antes prazo Cabe coisa bolsapromete cumpre além linda
35416,Amei bom
35419,happy
35420,Recebi muito antes prazo Amei presente Dia Mães
35426,ja atraso dias
35427,recebi encomenda prazo record comprei unidades recebi somente já encaminhei email loja visto não encontrei telefone ligar acredito resolvido
35429,adorei comprar produtorecomendo chegou antes prazo
35430,Entrega antes prazo bom
35432,Gostei produto achei maior deveria informar tamanho produto hora comprar clientes ja sabermos tamanho fiquei surpresa tamanho so nao gostei
35434,entrega dentro prazo perfeitas condiçoes
35435,Produto conforme imagem ilustrativa veio correto cor azul otimo produto satisfeito
35448,Loja muito boa entrega perfeita bem antes prazo
35450,Entregue antes prazo previsto
35453,Recebemos produto tempo combinado perfeito estado
35455,Muito confortável adapta bem corpo Produto ótima qualidade
35456,Até presente data não recebi Pedido numca aconteceu antes pedidos realizados stark sempre entregues ainda não recebi Luimar Morandin
35457,Chegou prazo correto muito bem embalado Gostei muito Parabéns loja
35459,Aconteceu programado dentro prazo previsto
35461,Recomendo ps tiverem problemas técnicos placa dar vídeo boot como basta atualizar BIOS placamãe
35462,Produto excelentepreço otino chegou dias antes previsto
35464,pedido nao entregue ligo nao consigop falar quero solução urgente podem atender menos telefone central atendimento favor
35465,Apesar pagar frete ainda ter ir Correios buscar encomenda produto veio bom estado exatamente precisava
35468,Boa loja bons produtos boa variedade pontualidade entrega bons preços
35469,foto produto hora produto chegou totalmente diferente
35472,Bom produto entregue antes prazo
35475,Entregue bem antes prazo Muito satisfeita Recomendo
35485,Recomendo entrega rápida Produto bom
35488,produto chegou rápido problemas
35495,Fiz compra torres só recebi além nota fiscal consta unidades
35496,BOM
35498,Falta respeito consumidor dia antes fechar prazo máximo entrega status mudaram produto indisponível falta respeito pouco não recebi ligação contato loja
35500,pedido dizia publicidade trena trena não veio
35501,Entrega antes prazo gostei muito recomendo certeza
35502,Projetor qualidade incrível muito bom jogos filmes eventos loja parceira enviou entregou antes prazo única coisa negativa não enviaram fusível extra conforme anuncio
35504,Boa tarde Entrega realizada antes prazo mencionado
35505,Nem mais menos exatamente pedi termos acordados Perfeito
35508,Produto bom entrega rápida
35510,Excelente produto superou expectativas Chegou antes prazo
35512,aguardando entrega casa Paraibuna
35516,Otimo
35519,folhas planta ótima qualidade caule também perfeito Excelente produto Bem embalado chegou bem antes prazo Compra super recomendada
35521,Tive dor cabeça comprademorou resolvidosó constartive problemas site não loja produtopelo menos loja nãoa mercadoria chegou prazo
35523,produto chegou conforme solicitado muito bem protegido embalagem adequada Parabéns Gostei muito ter comprado recebido desejava recomendo empresa ecommerce
35524,previsão chegada dia Hoje produto pior problema levam dar satisfação respondem quando cliente entra contato Não recomendo
35525,Recomendo Sempre entregam antes prazo chega ok
35529,Até momento retornou solicitação reembolso película veio quebrada
35537,Rapidez alma negocio
35542,Das unidades compradas apenas entreguers
35545,Chegou antes prazo Boa qualidade
35550,produto inda não chegou não dá satisfação
35551,Não recebi produto não saber porquê Tentei falar SAC nao consegui falar apenas msg eletrónica Tentei cancelar compra não consegui site não permitia
35552,Entregue prazo produto embalado corretamente
35555,Não instalei ainda produto tem bom acabamento entrega rápida
35556,Chegou muito rápido mala super recomendo ótima resistente
35560,NAO RECEBI ENDEREÇO POSTADO ERRADO
35565,Nota
35567,PRODUTO VEM EM PERFEITO ESTADO PRAZO EU QUERIA
35572,Super recomendo loja parabéns
35573,Chegou prazo
35576,Ainda nao usei produtomas atendimento otimo
35577,Produto muito bom Preço realmente bom relação execelente qualidade produto
35583,Amei produto
35585,Produto entregue dentro prazo
35586,Não recomendo loja online descumpre prazos não fornece atendimento consumidor satisfatório
35592,Comprei sexta entregou segunda
35595,Produto muito útil excelente qualidade Entrega antes prazo segura
35597,Chegou antes prazo veio direitinho super reforçado RECOMENDO
35598,Melhor custo beneficio produto ótima qualidade
35600,entregue antes prazo
35601,Indico
35602,Olá Boa Noite Até momento nao entregue pedido capa notebook previsto entregue datas Gostaria verificassem aconteceu
35603,Entrega Rápida
35604,Propaganda enganosa produto chinês Não vale valor cobrado Não impermeável não tem couro composição
35605,Muito bom
35608,Muito Satisfeita compra produto
35609,Recomendo loja produto
35610,Recebi mais defeito não sei como fazer
35612,Bom
35617,Veio usar casa brocas muito boas
35622,Produto ótima qualidade entregue dentro prazo Gostei muito
35624,Sempre compro lannister pedidos chegam antes prazo Espero explicação entrega suportes p sorvete comprei lannister targaryen até hj não chegaram
35626,Entrega antes prazo previsto produto simples dentro especificações preço justo
35629,Entregaram bem mais rápido prazo informado
35630,Ótimo vendedor
35631,Adorei produto exatamente queria ficou muito bom área serviço
35639,pedido saiu sampa sao Gonçalo pro nordeste depois voltou sao Gonçaloenfim mais dias
35647,parabens entregue antes prazo fiquei muito feliz
35648,produto péssimo
35650,exelente remomendo
35651,bom produto
35653,acontece infelizmente entrega caixa veio avariada faltando parafusos mesma qued deve ter caido caminho tem visto mais rigor
35657,Entrega rápida antes prazo final
35659,Produto entregue prazo ordem
35661,produto chegou antes prazo colocado sistema ótimas condições
35664,Comprei como mts mandaram mts entrega chego muito rápido mais fiquei decepcionado anunciarem coisa entregar
35665,Muito bom entregou antes prazo site seguro recomendo
35668,Bom vendedor bom produto
35669,Mais infelizmente comprei lixeiras chegaram só lixeiras
35679,Chegou dentro prazo instalado funcionando muito bem
35682,Produto pouco frágil esperava mais
35686,pedido solicitei unidades item só recebi unidade item cobrado frete produto separado Aguardando ansiosamente restante mercadoria
35689,Pedi canetas apenas entregue
35694,produto voltou menos contactado aguardando respostas
35696,Não recebi produto até agora
35699,Logistica ridicula so nao cancelei pedido conta burocracia devoluçao dinheiro lannister nunca mais
35700,Gostei produto dentro expectativas
35704,Olá relógio ainda não entregue aqui certeza ocorreu problema gostaria saber quando recebêlo
35706,Produto chegou rapto corretamente lacrado
35708,produto entregue dentro prazo problemas problema Recomendo
35710,Muito boa
35713,terceirizacão entregas comprometendo nome loja efetivacão entrega
35715,AIND ANÃO RECEBI PRODUTO PASSOU DATA DE ENTREGA
35718,Fiquei dias posição status produto informando errado aconteceu entrega
35719,produto lindo chegou prazo
35722,Entrega muito demorada apesar não atentar quando fiz compra prazo 30dias mesmo assim ainda atrasou semana intenção presentear filha dia não
35724,AINDA CEDO FALARPOIS MEU FILHO AINDA NÃO UTILIZOU PRODUTO
35726,Chegou produto perfeito exatamente como foto entregue antes prazo Recomendo
35727,Bom dia só não entendo pedido peças nunca chegue mesmo momento
35728,Estourou prazo entrega sequer dá satisfação Desapontada
35735,Excelente
35736,Produto chegou antes prazo ótima qualidade Atendeu expectativas
35737,produto apresentou folga articulaçãoé produto utilporém pensei melhor qualidade
35742,produto entregue conforme anunciado
35746,muito bom entregaram prazo exelente
35747,ótimo
35751,Excelente
35753,Adorei
35755,Negou antes prazo Produto exemplo
35756,Apesar entrega dentro prazo embalagem levemente danificada
35760,Considero loja muito boa produto entregue até antes prazo chegou bem embalado não tive problema pagamento Quanto produto tem bom tamanho achei rebote fraco
35762,recomendo seca bem rápido cabelos deixa bem macios também faz barulho alto material pouco frágil atendeu expectativas
35763,Não recebi produto
35765,Muito bom
35767,Produto incrível irmãos adoraram Super recomendo
35768,Achei acabamento muito simples overloque apenas Não tem bainha tem indicador marcar meio sling
35769,Lindo amei Preço super Bom
35770,Recebi produto antes prazoEu loja
35771,pendente bonito não cor foto foto aparenta azul claro veio azul marinho veio prazo perfeitas condições Preguiça trocar bonito mesmo assim
35774,Recebi produdo infelizmente nao esperava pincéis soltando cerdas
35778,ok
35780,Recebemos apenas unidade conforme Nota Fiscal Aguardo urgentemente tripé temos necessidade unidades conforme comprado
35781,produto pedido entregue metade Faltou trava Chegou só porteiro eletrônico
35782,parceiros lannister ótimos ainda esperando produto comprei
35785,Compre vontade
35789,Não recebi não irei retirar produto correio não gastar condução pegar produto paguei frete receber endereço já pedi estorno valor cartão
35790,Cancelei produto mais dias lannister continuou tratando pedido como entrega varias reclamações enfim atendida realmente sabe trabalhar Alexandre nota
35792,sempre compro loja lannister sempre chega antes
35797,Recebi produto prazo gostei muito compra site lannister só vez produto veio defeito também não gostei material pedi devolver compra
35800,produto chegou muito antes imaginava chegava
35801,Chegou bem antes prazo
35802,
35804,chegada antes data
35805,Gostei muito sempre precisar irei comprar
35814,Tapete Lindo grande boa qualidade super Recomendo
35815,marcadores maravilhosos produto entregue antes prazo
35816,Loja eficiente
35817,Faltou acessórios
35818,Não recebi nota fiscal toner recebi defeito
35819,Solicitei produto entregue aguardando troca
35823,Não recebi produto data prevista rastrear
35824,produto não entregue não obtive retorno assunto
35825,Produto não entregue entregue somente envelope dentro tinha panfleto loja não querendo enganar só não sei oque aconteceu caso não receber simples não compro mais
35826,Fiquei muito satisfeita compra
35833,Linda almofada cachorro muito boa qualidade
35840,ainda não experimentei produto
35841,Entrega rapida produtos certos
35842,Entrega antes prazo Ótimo
35843,Pedir capinhasestou pagando só veio umaEntao não satisfeita espero reparado erro
35844,Excelente produto loja entrega
35847,Recebi produto dentro prazo esperava recomendo
35848,caixa produto fica dentro embalagem correio veio danificada rasgada Nem parece realmente produto licenciamento time pq bem feia coisa
35850,SUPER RECOMENDO
35852,Até aqui tenho comprado tenho nemm atendida reclamar
35857,Não ficará só vez MT bem atendido mercadoria antes prazo parabéns
35863,Produto correto entregue dentro prazo muito bem embalado
35868,Recomendo
35869,PRODUTO EXPOSTO SIE ENTREGUE DENTRO PRAZO ESTABELECIDO OBRIGADO
35876,Muito Bom
35877,produto chegou forma correta Correios cidade não tenha bom serviço compra feita site problema produto chegou bom estado melhor esperado
35880,ótimo produto gostei muito
35881,Caro péssima qualidade
35882,Vcs estao parabens excelente atendimento
35886,fiz pedido itens shampoo LOréal Condicionador Joico só recebi condicionador receberei shampoo Obrigada Adriana
35887,Entregue boa embalagem dentro prazo
35889,Ótimo Parabéns
35890,produto não entregue casa sim posto Correios não consegui retirálo tempo hábil não falar atendenteQual procedimento
35891,parabéns
35893,HOJE JÁ ENTREGA MARCADA DIA NÃO HOUVE NENHUM TIPO DE FEEDBACK PARTE EMPRESA ATRASO
35894,Produto veio quebrado
35896,AINDA NÃO RECEBÍ PRODUTO REFERENTE DEVO PROCEDER TENHO ENCONTRADO DIFICULDADE EM FAZER ACOMPANHAMENTO DATA CORRETA 16MAR2018 RESPONDA
35899,Muito bom
35905,Gostei
35907,
35908,Não posso avaliar não recebi produto MT chateada nunca tinha acontecido c compra site lannister site diz produto entregue Cascavel PR moro RJ
35909,Produto bom entrega satisfatória
35912,Produto entregue prazo como
35917,Entrega rápida produto satisfatório
35919,Gostei muito bom
35920,Perfeito entregue bem antes prazo Super recomendo
35921,apesar confusão entrega produto entregue Agradeço
35923,Recebi bem antes prazo Produto lindo
35925,mercadoria super atrasada satisfação
35928,Entrega ótima
35930,BOA ENTREGA CHEGOU POUCO PRAZO
35933,Parabéns maravilhoso
35934,pedido veio incompleto não atenderam telefone email
35935,Chegou prazo bem acondicionada Ameeei Combinou casa Perfeito Super Recomendo
35941,bonita como contratado
35943,tinha cancelada compra mesmo assim entregaram
35950,Muito bom Almofada muito confortável perfeita sofreu machucado coccix
35954,como combinado
35955,Chegou certodentro prazo
35958,Setup chines não funciona corretamente
35966,Chegou antes prazo ainda veio brinde
35969,produto veio defeito costura
35971,Recomendo
35973,entregue antes prazo ok recomendo produto
35974,Muito bom recomendo Entrega antes prazo
35977,Produto chegou antes prazo Muito bom
35978,Ainda não recebi produto rastreamento fala mudei esperando entrar contato entender aconteceu
35979,Comprei há mais mês não recebi produto
35983,perfeito
35984,Bom dia Recebi produto veio apoio braço não havia pedido resolvi nao entrar questão Tenham cuidado próxima vez
35986,Compro sempre lojas lannister além preços produtos mais baratos lojas entrega super rápida dão prazo quase mês chega dias
35988,Comprei unidades produto embalagem entregue endereço só tem apenas nota fiscal confirma pago como solicitado efetuado pedido quero soluc
35996,Produto chegou antes prazo
35997,produto ficou dias status aprovação pagamento enviei email vezes não obtive resposta tive ligar SAC poderem entrar contato vendedor verem pq
35998,Produto entregue dentro prazo
35999,produto não entregue
36002,não recebi produto daí avaliação negativa invariavelmente Insisto entrega Pedido
36003,Recebi porta controles mdf danificado
36007,recomendo ok
36008,sempre ótimos
36013,Squeeze sensacional Mantém temperatura muito tempo Além bonito tem acabamento impecável Recomendo
36015,como combinado
36016,Muito bom produto
36031,Muito boa chegou antes esperado
36032,Produto chegou como combinado dentro prazo bem protegido Recomendo
36033,Parabéns atendimento
36036,Recebi produto amassado marcas uso já começando enferrujar não recomendo muito mal embalado caixa veio rasgada amassada prejudicando produto
36037,Adorei Super bem acabada versátil pequena Comprei presente esposo amou Fora entrega super rápida
36042,Muito bom rápido
36045,produto qualidade entrega rápida
36046,produto entregue muito antes prazo ótimo estado conservação
36047,Adorei cortina material bem bom veio perfeito estado Cor modelo corretíssimoRecomendo
36051,Ate presente data não recebi mercadoria
36053,compras não tive problemas
36057,Estante chegou muito bem embalada prazo Mercadoria conforme anuncio Gostei
36060,OTIMO
36066,compra feita entregue dias uteis apos pagamento aprovado momento compra ainda nao recebi
36067,Sempre entregam prazo avarias estresses muito bom obrigado
36068,Excelente Recomendo
36070,Espero solução não recebi lençóis Percal200 fios
36073,gostei muito pedido aparelho ouvido falta telefone aguardando pedido chegou feito ultimo Obrigada aguardo
36074,Olá loja entregou fone tempo muito rápido dentro dias ótimo fone lindo acabamento super satisfeito compra loja
36077,Ótima loja
36078,Gostei muito fiwuei sagisfeita
36081,Gostei entregou rapidinho
36083,Entrega muito rapida
36085,Produto entregue dentro prazo
36086,muito satisfeito especificamente compra entrega feita rapidamente
36087,produto comprado
36088,Entrega muito antes prazo determinado
36090,Até agora não recebi produto comprado
36092,Muito bom produto
36095,Pedi em24072018 previsão até dia recebi muito rápido adorei
36096,Não tenho como recomendar loja ainda não recebi produto
36099,Jogo cama cetim excelente preço opções cores muito lindo
36100,Ótima compra
36102,Só achei deveria vir peça embalagem separada facilitar montagem já não vem manualé verdadeiro quebra cabeça Fora produto bom
36104,Produto lindo ótima qualidade
36105,Cumpriu acordadeo
36107,Houve pequeno mal entendimento devido cortina anunciada como realidade mais ok
36109,Fácil montar muito confortável
36115,comprei cartucos so veio
36116,PERFEITO
36118,Produto não passou Controle Qualidade
36120,Produto entregue rapidez Site mostrou previsão entrega quase mês produto chegou semana
36122,curti
36125,produto não entregue até hoje
36126,cor muito diferente foto ótima mala pequena
36129,tenho dizer Parabéns Muito Obrigado
36131,paguei já venceu data entrega ainda não recebi
36132,Recebi bem antes prazo
36135,ainda não usei chegou
36136,Produto como descrito entregue antes prazo
36138,FALTA DE QUALIDADE PROCESSO DE SEPARAÇÃO ENVIO PRODUTO ENVIARAM PRODUTO DE CLIENTE lannisterCOM MEU ENDEREÇO MEU FOI ENVIADO ENDEREÇO CLIENTE lannister
36139,Comprei tapete grandes vieram dobrados Junto veio carta pedindo desculpas correios não aceitam embalagens mais metro Penso deveria ter vindo transportadora
36144,Já realizei compras site só vez não fiquei muito satisfeita prazo entregamuito demorado Boa tarde
36145,Muito decepcionada cobrada cartão credito não recebi produto pq não chegou distribuidora região conforme informada mailE solução
36148,Comprei so recebi
36149,transcorreu maiores problemas
36151,Chegou antes prazo estipulado Super recomendo relógio ótimo presente dia pais esposo adorou Além leve mais bonito foto 😊
36154,Produto ótima qualidade entrega super rápida
36155,comprei kit pneus só veio pneusEu quero saber mandar restante pneus devolver dinheiro já tinha mandado email não responde
36158,geral ocorreu bem
36159,entrega super rápida
36162,Sempre comprei lannister nunca havia tido problemas montagemso vez veio faltando parafusos porcas montagem armario aço Fiquei insatisfeita compra
36164,vezes encontro problemas parceiros stark prometem data entrega não cumprem caso targaryen parabéns Recebi encomenda antes prazo prometido
36166,Chegou prazo Produto acordo valor
36171,Produto entregue problemas obrigado
36174,entrega rapida dentro prazo estipulado
36175,Lindo
36177,Pessima loja Vendem recebem não entregam
36181,Entregue prazo
36182,produto tecido ma qualidadea cor azul mais cara nao tem qualidadetecido mole nao fica arrumado
36184,boneca linda comprar criança ficar kkkk
36186,Gostaria retorno quanto antes situação compra Obrigada
36189,produto chegou antes prazo previsto
36190,Produto excelente ótima qualidade Adorei
36193,Produto muito bom bonito satisfeita
36198,Perfeito entrega antes previsão Produto otimoo
36199,PRODUTO SO PODE SER EXPOSTO VENDA QUANDO TEM EM ESTOQUE NÃO VENDER ENTREGAR COMPREI PRODUTO DE VEIO DE PROPAGANDA ENGANOSA QUERO MEU DINHEIRO DE VOL
36200,Adorei chegou direitinho antes dia previsto entrega
36204,Bom relogio
36206,BOA
36209,Comprei cuba gostaria trocar iquivoquei tamanho
36215,Fiquei muito insatisfeito produto comprado torneira entregue não comprada cuba invés porcelana verdade pintada Quero devolução produto
36217,Paguei frete tive buscar Correios Insatisfeita
36222,Produto entregue antes prazo nota
36224,Lindo super macio bem levee antiderrapante ainda nao lavei parece bem fácil lavar
36225,Pedido até Entrega Qualidade Satisfeito RECOMENDO
36228,ainda não entregaram produto apenas avia comprado junto cabo HDMI NÃO entregue
36230,devolver produto veio caixa especificação não produto comprei tel
36232,Produto muito bom barato
36235,Ótimo produto
36237,recebi certinho
36238,pedido consta cartucho preto 60xL colorido colorido nào pagamento feito integral ja consta fa fatura cartao credito
36241,Perfeito quesitos
36242,produto chegou defeito bem embaladode acordo pedido
36245,precisa ter descrição tipo lampada anuncio 12v 50w filamento esquenta
36247,ótimo produto
36248,Exatamente procurando deu certinho
36255,Peço verificar junto empresa transportadora até momento pedido não entregue Contando apoio senhores
36258,Muito ruim loja retorno
36263,loja recomendo nao recomendo compras lannistercom pessimo atendimento devoluções trocas naõ tem atendimento online telefone so enrolam nao atendem email nao
36264,Muito pequeno
36269,Chegou prazogostei produtorecomendo
36270,Entrega rápida
36271,transformador chegou direitinho porem achei pesado pino tomada muito grosso atende necessidades
36272,Gostei entrega super rápida só faltou manual português explique como funcionaTIVE VER YOUTUBE FUNCIONA qualidade imagem não muito boa mais cumpri promete
36273,produto tenha entregue prazo mais demorou quase mês chegar prazo muito alto
36277,Não recebi compra dentro prazo aguardando parece única solução dada site cancelar pedido não acontecer Preciso produto Aguardo retorno
36280,Mochila bonita forte bastante espaçorecomendo
36282,mandaram relógio não funciona acionar justiça novo
36290,Ótimo excelente produto recomendo
36291,Ótimo produto acordo ofertado
36292,Entregue prazo problemas
36293,prazo entrega produto dia até agora consta apenas como encaminhado Brasilia
36297,Empresa qualidade entregou correto dentro prazo
36303,pedido veio errado invés capa mais película modelo Xiaomi Redmi 4x vieram itens modelo Note
36304,Entregou rápidoproduto parece bom só não sei original
36310,Super recomendo comprar lannister compras chegam prazo correto quando não chegam antes 👏🏻👏🏻👏🏻
36316,Loja rápida entrega indico
36318,Pertfeito
36322,Produto entregue antes data funcionando direitinho Recomendo
36324,Elogiável
36330,Recebí produto apesar ter feito cancelamento tanto email quanto site lannistercom Fiz cancelamento antes nota fiscal emitida não tive sucesso retorno
36335,chegou certinho
36336,Comprei falcon recebi homem formiga
36338,Só teve problemas correios fizeram tentativas entregar mercadoria fora resto bom
36339,produto chegou prazo
36340,Cancelou pedido mesma saber ansiosa chegar produto mesmo cancelado loja
36342,LOJA DE PARABÉNSENTREGOU PRAZO MEU FILHO AMOUQUERO COMPRAR EM BREVE
36343,Produto excelente qualidade
36347,chegou antes prazo
36352,lancheira cor diferente mochila contato vendedor mesmo informou não havia cor estoque troca culpou site não permitir mudar foto descrição
36354,Fiz compra mesmo dia prazo até entregue dia devidamente empacotado perfeitas condições stark como sempre Bomdimais
36356,Super RecomendoUm encanto
36359,Gosto loja decepcionei produto Qualidade inferior aparenta foto Inclusive gostaria saber procedimento troca
36363,Produto baixa qualidade preco descrição produto
36364,Bom
36366,Fiz compra chegou apenas filtro já difusor esperando até agora ver quando chegar
36367,Produto não chegou prazo não tive retorno vendedor
36368,não recebi mercadoria como faco
36372,Adorei óculos muito satisfeito preço paguei
36374,Solicitei devolução até agora não entraram contato
36377,Produto ótima qualidade chegou antes prazo previsto
36378,Produto entregue prazo combinadoexcelente qualidade
36381,Não recebi mercadoria comprei Recebi Produto
36382,Otimo vendedor
36383,bom rapido
36384,Olha produto QUALIDADE entregue dias compra DETALHE prazo entrega DIAS fato recomendo
36386,Já enviei email informando problema sério entrega produto agência Correios disseram responsabilidade lannister Não chegou destino
36388,descrição produto vim controle remoto junto produto só fone carregador
36391,otimo produto material muito bom chegou antes prazo recomendo
36395,Muito bom
36398,veio certinho
36399,produto bom entrega antes prazo estabelecido
36401,Produto não chegou ainda
36402,Pedir cor preta veio cor vermelha
36405,Recebi produto ótima qualidade entrega prazo Recomendo fornecedor Antonio Jair
36407,Chegou corretamente tempo recorde Parabéns trabalho
36408,Não recebi mercadoria ainda aguardar depois pedir ressarcimento
36409,Só recebi jogo lençóis produto não
36411,Adoro comprar loja
36412,Recebi boneca manchas nariz perna Creio papel crepom venho caixa Já abri solicitação atendimento não obtive resposta
36413,produto ótimo esperado loja super rápida enrolação entregar Gostei
36415,maravilhoso muito bonito amei
36419,Chegou antes prazo esperado produto qualidade ótimo preço Recomendo
36421,Apesar ter entregue Correio produto chegou dentro prazo perfeito estado Recomendo muito
36423,produto veio faltando unidade ainda não consegui entrar contato solucionar problema Gostaria saber como ficar agora
36426,Entrega super rápido produto atende necessidades uso Parabéns
36427,produto veio defeito
36431,Tapetes ótima qualidade exatamente como esperava Recomendo
36436,Produto ótima qualidade super rápido entrega
36438,Produto ótima qualidade Recomendo
36442,bonito
36443,Linda
36446,ATÉ HJ NAO RECEBI MEU PRODUTO NAO SEI AINDA VAI CHEGARNOS EMAIL ENVIADOS NAO DESCREVE CLARAMENTE
36452,Fiquei muito satisfeito trabalho realizado empresa
36459,Ainda não usei produto entrega gastou dias chegar Ja comprei lannister chegou super rápido achei demorou
36460,Comprei produto dias atraso entrega entra contato explicar não contato loja
36463,NAO RECEBI PRODUTO NEM DINHEIRO DE VOLTA PRECISO DE SOLUÇÃO URGENTE NÃO TEREI IR PROCON
36465,Chegou apenas produtos comprei
36469,satisfeita serviço rápidobem embaladoE produto muito bom
36473,Super recomendo
36482,Deu tiverem preço bom frete certeza escolherei ecommerce pesquiso muito antes comprar
36483,realizei compra não entregara cancelando espero reembolsada
36484,dia recebi produto diferente tamanho solicitado qualidade abaixo esperada solicitei cancelamento Até momento não recebi respeito cancelamento
36491,Recomendo
36494,opinião cliente pede só tem não mande há faz mesmo efeito gasto redução maior não fica bom
36498,Ótimo produto
36504,ok
36511,dentro esperado
36513,Não recebi mercadoria
36514,entrega muito rápido produto ótomo
36518,Produto bom Chegou prazo
36521,compra muito atrasada
36524,Faltou produto Não recebi jogo chaves alicate pequeno
36525,Ótimo produto recomendo
36531,Ótima loja compra online fazem entrega bem rápida
36538,Ainda não recebi produto
36542,Produto enviado diferente solicitado
36545,Sempre comprei baratheon sempre recebi produto correto apenas entrega veio errado comprei caqui recebi vermelha
36548,bom serviço
36549,Chegou rapido
36550,Até agora não recebi produto
36552,So acho deveria entregue juntos
36553,chegou bem antes prazo estipulado
36554,Produto entregue antes prazo qualidade perfeito
36558,Dei Estrelas Ainda não usei produto mais breve digo
36559,compra entregue pessoa Recebi peça não comprei
36566,targaryen entrega bijuterias relógios perfeita papel não
36568,toalhas não felpudas
36570,Muito bom
36571,Não tenho como opinar produto ainda não chegou Já passaram dias prazo entrega
36572,Recebi produto data marcada perfeita condições
36573,Recebimento parcial produtos
36574,adorei produtos surpreendeu entrega rápida veio muito bem embalado acabamento ótimo fiquei muito satisfeita
36577,Muito bom super recomendo
36581,Só podia manda volume só
36582,Whey excelente produto chegou perfeito dentro prazo
36585,comprei cartuchos ORIGINAIS HP670XL PRETO conforme anunciado site entregaram cartucho COMPATÍVEL Reclamei site esperando retorno email
36587,Bom relógio Chegou antes data prevista
36588,Exelente atendimento entrega antes prazo recomendo
36591,Produto chegou antes previsto Muito satisfeita
36595,Produto ruim preço cobrado
36596,Muito bom
36598,targaryen apenas entregou produtos ficando entrega faltando relogio feminino corrente dourada casual gostaria saber acontecendo Amer
36599,Ótimo
36600,excelente
36603,MANDADO MENSAGEM ANTERIOR ESTOU MUITO INSATISFEITA COM baratheon COMPREI PRODUTO PRA DAR DE PRESENTE MEM NA DATA PREVISTA MIM ENTREGARAM AGUARDO RETORNO
36606,produto entregue dentro prazo puco fora padrão baratheon entrega
36607,Ainda não recebi
36609,Top
36610,Película Fusor Lexmark E250 so chegou peliculas falta unidade cilindro
36611,so não fiquei mais satisfeita tive retirar correios
36612,excelenterecebi antes prazo
36615,Continuo aguardando
36621,produto processo devolução entregue lugar errado pessoa Logo processo devolução demorado
36622,comprei itens jogo lençol matizador chegou apenas jogo lençol Não recebi retorno acontecido
36624,Produto ainda não chegou
36627,Gostei bastante produto Recomendo
